title,image,content
'Til There Was You,https://upload.wikimedia.org/wikipedia/en/9/9a/Til_There_Was_You.jpg,"Gwen Moss (Jeanne Tripplehorn) has spent the better part of her life waiting for the man of her dreams, unaware she briefly bumped into him at school as children and has had several close encounters ever since. She aspires to have a life like her longtime friend Debbie (Jennifer Aniston), a successful doctor with a beautiful home but a marriage that may not be as perfect as it seems on the surface.  Gwen is hired to ghostwrite the autobiography of former child star Francesca Lanfield (Sarah Jessica Parker), whose career virtually ended following her stint on a long-running Partridge Family-Brady Bunch hybrid sitcom. Francesca owns La Fortuna, a picturesque vintage apartment complex (filmed at the historic El Cabrillo). Architect Nick Dawkan's (Dylan McDermott) boss Timo wants to buy and demolish the complex so his firm can construct a modern condominium development in its place. Francesca agrees to the sale as long as Nick is placed in charge of the project, and the two embark on a somewhat tempestuous relationship. Both are damaged emotionally; Francesca has overcome an addiction to drugs but still craves the spotlight, while Nick is dealing with the memory of a father who failed as a songwriter and became a hopeless alcoholic. Meanwhile, Gwen is shocked to discover her father Saul never loved her mother Beebee and is devastated when the two decide to divorce.  Her parents' story of how they met from her childhood turns out to be false: Saul got stood up by his date that night and Beebee thought that he was interested in her.  They only married to ""avoid an argument"", as Saul puts it.  Gwen moves into La Fortuna and finds herself surrounded by an assortment of odd but lovable neighbors who have created a family of their own. When the tenants are presented with eviction notices, they decide to fight back. Having discovered the property was designed by Sophia Monroe, one of the first female architects of note (and coincidentally Nick's mentor during the early stages of his career), and served as home to silent film star Louise Brooks, Gwen hopes she can have it declared an historical landmark with the assistance of Jon Haas, the city councilman she is dating. Nick is prepared to fight for his firm until he sees La Fortuna and learns its history and decides it might be worth preserving after all.  Though ultimately unsuccessful in preserving La Fortuna, they finally meet at the Nicotine Anonymous meeting, are then happily married, and have a daughter together."
...First Do No Harm,https://upload.wikimedia.org/wikipedia/en/0/07/...first_do_no_harm.jpg,"The film tells a story in the life of a Midwestern family, the Reimullers. Lori (played by Meryl Streep) is the mother of three children, and the wife of Dave (Fred Ward), a truck driver. The family are presented as happy, normal and comfortable financially: they have just bought a horse and are planning a holiday to Hawaii. Then the youngest son, Robbie (Seth Adkins), has a sudden unexplained fall at school. A short while later, he has another unprovoked fall while playing with his brother, and is seen having a convulsive seizure. Robbie is taken to the hospital where a number of procedures are performed: a CT scan, a lumbar puncture, an electroencephalogram (EEG) and blood tests. No cause is found but the two falls are regarded as epileptic seizures and the child is diagnosed with epilepsy.  Robbie is started on phenobarbital, an old anticonvulsant drug with well-known side effects including cognitive impairment and behavior problems. The latter cause the child to run berserk through the house, leading to injury. Lori urgently phones the physician to request a change of medication. It is changed to phenytoin (Dilantin) but the dose of phenobarbital must be tapered slowly, causing frustration. Later, the drug carbamazepine (Tegretol) is added.  Meanwhile, the Reimullers discover that their health insurance is invalid and their treatment is transferred from private to county hospital. In an attempt to pay the medical bills, Dave takes on more dangerous truck loads and works long hours. Family tensions reach a head when the children realize the holiday is not going to happen and a foreclosure notice is posted on the house.  Robbie's epilepsy gets worse, and he develops a serious rash known as Stevens–Johnson syndrome as a side effect of the medication. He is admitted to hospital where his padded cot is designed to prevent him escaping. The parents fear he may become a ""vegetable"" and are losing hope. At one point, Robbie goes into status epilepticus (a continuous convulsive seizure that must be stopped as a medical emergency). Increasing doses of diazepam (Valium) are given intravenously to no effect. Eventually, paraldehyde is given rectally. This drug is described as having possibly fatal side effects and is seen dramatically melting a plastic cup (a glass syringe is required).  The neurologist in charge of Robbie's care, Dr. Melanie Abbasac (Allison Janney), has poor bedside manner and paints a bleak picture. Abbasac wants the Reimullers to consider surgery and start the necessary investigative procedures to see if this is an option. These involve removing the top of the skull and inserting electrodes on the surface of the brain to achieve a more accurate location of any seizure focus than normal scalp EEG electrodes. The Reimullers see surgery as a dangerous last resort and want to know if anything else can be done.  Lori begins to research epilepsy at the library. After many hours, she comes across the ketogenic diet in a well-regarded textbook on epilepsy. However, their doctor dismisses the diet as having only anecdotal evidence of its effectiveness. After initially refusing to consider the diet, she appears to relent but sets impossible hurdles in the way: the Reimullers must find a way to transport their son to Johns Hopkins Hospital in Baltimore, Maryland with continual medical support—something they cannot afford.  That evening, Lori attempts to abduct her son from the hospital and, despite the risk, fly with him to an appointment she has made with a doctor at Johns Hopkins. However, she is stopped by hospital security at the exit to the hospital. A sympathetic nurse warns Lori that she could lose custody of her son if a court decides she is putting her son's health at risk.  Dave makes contact with an old family friend who once practiced as a physician and is still licensed. This doctor and the sympathetic nurse agree to accompany Lori and Robbie on the trip to Baltimore. During the flight, Robbie has a prolonged convulsive seizure, which causes some concern to the pilot and crew.  When they arrive at Johns Hopkins, it becomes apparent that Lori has deceived her friends as her appointment (for the previous week) was not rescheduled and there are no places on the ketogenic diet program. After much pleading, Dr. Freeman agrees to take Robbie on as an outpatient. Lori and Robbie stay at a convent in Baltimore.  The diet is briefly explained by Millicent Kelly (played by herself) a dietitian who has helped run the ketogenic diet program since the 1940s. Robbie's seizures begin to improve during the initial fast that is used to kick-start the diet. Despite the very high-fat nature of the diet, Robbie accepts the food and rapidly improves. His seizures are eliminated and his mental faculties are restored. The film ends with Robbie riding the family horse at a parade through town. Closing credits claim Robbie continued the diet for a couple of years and has remained seizure- and drug-free ever since."
10 Things I Hate About You,https://upload.wikimedia.org/wikipedia/en/9/95/10_Things_I_Hate_About_You_film.jpg,"Cameron James, a new student at Padua High School in the Seattle area, immediately falls in love with beautiful and popular sophomore Bianca Stratford. Geeky Michael Eckman warns him that she is vapid and conceited, and that her overprotective father does not allow Bianca or her older sister, the shrewish Kat, to date. Kat, a senior, is accepted to Sarah Lawrence College in New York, but her father, Walter, wants her to stay close to home and attend his alma mater University of Washington.   Bianca wishes to date affluent senior Joey Donner, but Walter, an obstetrician worried about teenage pregnancy, will not allow his daughters to date until they graduate. Frustrated by Bianca's insistence and Kat's rebelliousness, Walter declares that Bianca may date only when Kat does, knowing that Kat's antisocial attitude makes this unlikely.  When Cameron asks Bianca out, she informs him of her father's new rule and, as a pretense for allowing her to date Joey, suggests he find someone willing to date Kat. He selects ""bad boy"" Patrick Verona, but Patrick scares him off. Michael assists by convincing Joey to pay Patrick to take Kat out, under the pretense that this will allow Joey to date Bianca. Patrick agrees to the deal, but Kat rebuffs his first few advances. Michael and Cameron help him by probing Bianca for information on Kat's likes and dislikes. Armed with this knowledge, Patrick begins to win Kat's interest. She goes to a party with him, which enables Bianca to go as well, much to Walter's dismay.  At the party, Kat becomes upset when she sees Bianca with Joey, and responds by getting drunk. Patrick attends to her, and she starts to open up, expressing her interest in starting a band. But when Kat tries to kiss him, Patrick pulls away so she leaves, infuriated. Meanwhile, Bianca ignores Cameron in favor of Joey, leaving Cameron dejected. But Bianca soon realizes that Joey is shallow and self-absorbed, and asks Cameron for a ride home. He admits his feelings for her and his frustration with how she has treated him. Bianca responds by kissing him.  Joey offers to pay Patrick to take Kat to the prom so he can take Bianca. He initially refuses, but relents when he offers him more money. Kat is still angry with Patrick, but he wins her over by serenading her with the accompaniment of the marching band, and she helps him sneak out of detention. They go on a date, which turns romantic, but Kat becomes suspicious and angry when Patrick insists that she go with him to the prom, an event she is adamantly against.   Bianca is irritated that Cameron hasn't asked her to the prom, and so accepts Joey's invitation, but Walter won't allow it unless Kat goes too. Kat confesses to Bianca that she dated Joey when they were freshmen and, succumbing to peer pressure, had sex with him. Afterwards she regretted it and Joey dumped her, so she vowed to never again do anything just because everyone else was doing it. Bianca insists that she can make her own choices, so Kat agrees to go to the prom with Patrick, and Bianca decides to go with Cameron instead of Joey.  All is going well at the prom until Bianca learns that Joey planned to have sex with her that night. Angry that Bianca has spurned him for Cameron, Joey reveals his arrangement with Patrick, which causes Kat to leave, heartbroken. Joey then shoves Michael and punches Cameron, but is in turn beaten up by Bianca for having hurt her, Kat, and Cameron. Bianca and Cameron share another kiss.  The next day, Bianca reconciles with Kat and begins dating Cameron. Walter admits that Kat is capable of taking care of herself, and gives her permission to attend Sarah Lawrence College. For an assignment in which the students were to write their own versions of William Shakespeare's Sonnet 141, Kat reads aloud a poem titled ""10 Things I Hate About You"", revealing that she still loves Patrick. He surprises her with a Fender Stratocaster bought with the money Joey paid him, and confesses that he has fallen for her. Kat forgives him, and they make up with a kiss."
101 Dalmatians (1996 film),https://upload.wikimedia.org/wikipedia/en/e/ef/One_hundred_and_one_dalmatians_ver2.jpg,"American video game designer Roger Dearly lives with his pet Dalmatian Pongo in London. One day, Pongo sets his eyes on Perdita, another Dalmatian. After a chase that ends in St James's Park, Roger discovers that Pongo likes Perdita. Her owner, Anita Campbell-Green, falls in love with Roger when they meet. When they return to Roger's home, Anita accepts his proposal. They get married along with Perdita and Pongo. Anita works as a fashion designer at the House of de Vil. Her boss, Cruella de Vil, has a deep passion for fur, going so far as to have a taxidermist, Mr. Skinner, skin a white tiger named Sue-Ling at the London Zoo to make her into a rug for her. Anita, inspired by her Dalmatian, designs a coat made with spotted fur. Cruella is intrigued by the idea of making garments out of actual Dalmatians, and finds it amusing that it would seem as if she was wearing Anita's dog.  Perdita gets pregnant, and so does Anita. Cruella visits their home and gets excited when she finds out Perdita is expecting too. Weeks later, she returns when a litter of 15 puppies are born and offers Roger and Anita £7,500 for them, but they refuse. Enraged, Cruella dismisses Anita and vows revenge against her and Roger. One winter evening, she has her henchmen, Jasper and Horace, break into their home and steal the puppies, while the couple is walking in the park with Pongo and Perdita. Along with 84 other Dalmatians that were previously stolen, they deliver them to her country estate, De Vil Mansion. Cruella asks Skinner to kill and skin them to create her coat.  With the family devastated at the loss of their puppies, Pongo uses the twilight bark to carry the message via the dogs and other animals of Great Britain, while Roger and Anita notify the police. Anita realizes Cruella was behind the kidnappings and confirms her suspicion when she shows Roger and Nanny her portfolio. An Airedale Terrier follows Jasper and Horace to the mansion, and finds all of the puppies, who he helps escape under the duo's noses. They make their way to a nearby farm, where they are later joined by Pongo and Perdita. Cruella arrives at the mansion and discovers what has happened. Angry with the thieves' failure, she decides to carry out the job herself. After several mishaps, Jasper and Horace discover nearby police looking for Cruella and hand themselves in, joining Skinner who was attacked in defence while trying to kill a puppy who have been left behind.  Cruella tracks the puppies to the farm and tries to kill them. The farm animals carry out a plan to take her down while the puppies escape. They steal her hat and drop a pig on her, then three raccoons drop Cruella into a vat of molasses, and she gets flung into a pigpen, defeating her. The police arrive and arrest her, who is taken into custody along with Jasper, Horace and Skinner. With her arrest, the downfall of her business and reputation is inevitable.  All of the dalmatians are found and sent home via the Suffolk Constabulary. Pongo, Perdita and their puppies are reunited with Roger, Anita and Nanny. After being informed that the remaining 84 puppies have no home to go to, as they have not yet been claimed by any owners, they decide to adopt them. Roger designs a successful video game featuring dalmatian puppies as the protagonists and Cruella as the villain, with this success they move out of London to the countryside with their millions. Roger and Anita have a baby girl, while the dogs grow up with puppies of their own."
12 Angry Men (1997 film),https://upload.wikimedia.org/wikipedia/en/4/44/12_Angry_Men_1997_film_poster.jpg,"In the murder trial of a teenage boy from a city slum, accused of murdering his father, the judge instructs the jury to determine his guilt or innocence. The verdict must be unanimous and a guilty verdict will possibly (not mandatorily, unlike in the 1957 film) result in the death penalty. The jury of twelve retires to the jury room.  An initial vote is taken and eleven jurors vote for conviction. Juror 8, the lone dissenter, states that the evidence is circumstantial and the boy deserves a fair deliberation. He questions the testimony of the two witnesses, and the fact that the switchblade used in the murder is not as unusual as the testimony indicates, producing an identical knife from his pocket.  Juror 8 proposes another vote by secret ballot – if the other jurors vote guilty unanimously, he will acquiesce, but if at least one votes ""not guilty"" they will continue deliberating. Only Juror 9 changes his vote, respecting Juror 8's motives and feeling his points deserve further discussion.  After deliberating whether one witness actually heard the murder take place, Juror 5, who grew up in a slum, changes his vote. Juror 11, questioning whether the defendant would have fled the scene and returned three hours later to retrieve his knife, also changes his vote. Jurors 2 and 6 also vote ""not guilty"", tying the verdict at 6-6, after Juror 8 demonstrates the unlikelihood that one witness actually saw the boy flee the scene. The remaining jurors are intrigued when Juror 11 proves that although a psychiatric test stated that the boy had subconscious desires to kill, such tests only offer possible actions. Juror 7, impatient to attend a baseball game that night, changes his vote, but Juror 11 chastises him for changing his vote so casually and selfishly when the boy's life is on the line. When pressed by Juror 11, Juror 7 eventually states that he doubts the boy is guilty.  Jurors 12 and 1 change their votes, leaving the only dissenters: Jurors 3, 4, and 10. Outraged at the proceedings, Juror 10 goes on a bigoted diatribe against Hispanic immigrants ""outbreeding"" African-Americans. He attempts to leverage this with the other African-American jurors, offending the rest of the jury, until Juror 4 orders him to be quiet for the rest of the proceedings.  Juror 4 states that despite all the other evidence called into question, the testimony of the woman who saw the murder from across the street stands as solid evidence. Juror 12 changes his vote back to ""guilty"", making the vote 8–4 again. Juror 9, seeing Juror 4 rub his nose, irritated by his glasses, realizes that the witness had impressions on her nose, indicating that she wore glasses and likely was not wearing them when she saw the murder. Jurors 12 and 4 change their vote to ""not guilty"". Juror 10, who says he still thinks the defendant is guilty, bluntly admits to no longer caring about the verdict and votes for acquittal.  Undeterred, Juror 3 is forced to present his arguments again, and goes on a tirade, presenting the evidence in haphazard fashion and concluding with his disbelief that a son would kill his own father, mirroring his previous comments about his bad relationship with his own son. He begins to weep, and says he can feel the knife being plunged into his chest. Juror 8 gently points out that the boy is not his son, and Juror 4 quietly persuades him to let the boy live. Juror 3 gives in, and the final vote is unanimous for acquittal.  The jurors leave and the defendant is found not guilty off-screen, while Juror 8 helps the distraught Juror 3 with his coat. Before departing the court, Jurors 8 (Davis) and 9 (McCardle) exchange names before parting ways."
12 Monkeys,https://upload.wikimedia.org/wikipedia/en/c/cf/Twelve_monkeysmp.jpg,"A deadly virus, released in 1996, wipes out almost all of humanity, forcing survivors to live underground. A group known as the Army of the Twelve Monkeys is believed to have released the virus.  In 2035, James Cole is a prisoner living in an underground compound beneath Philadelphia. Cole is selected to be sent back in time to find the original virus to help scientists develop a cure in exchange for a reduced sentence. Meanwhile, Cole is troubled by dreams involving a foot chase and shooting at an airport.  Cole arrives in Baltimore in 1990, not 1996 as planned. He is arrested and incarcerated at a mental hospital on the diagnosis of Dr. Kathryn Railly. There he encounters Jeffrey Goines, a mental patient with extreme environmentalist and anti-corporate views. Cole is interviewed by a panel of doctors where he tries to explain that the virus outbreak has already happened and it can't be prevented.  After an escape attempt, Cole is sedated and locked in a cell, but he disappears, waking up back in 2035. Cole is interrogated by the scientists who play a distorted voicemail message that asserts the association of the Army of the Twelve Monkeys with the virus. He is also shown photos of numerous people suspected of being involved, including Goines. The scientists offer Cole another chance to complete his mission and send him back in time. Cole briefly arrives at a battlefield during World War I, where he sees another prison inmate who was sent back in time, Jose. Cole is shot in the leg, then gets transported to 1996.  In 1996, Railly gives a lecture about the Cassandra complex to a group of scientists. At the post-lecture book signing, Railly meets Dr. Peters who tells her that apocalypse alarmists represent the sane vision while humanity's gradual destruction of the environment is the real lunacy.  Cole arrives at the venue after seeing flyers publicizing it. When Railly departs he kidnaps her and forces her to take him to Philadelphia. They learn that Goines is the founder of the Army of the Twelve Monkeys before they set out in search of him. When Cole confronts Goines, he denies any involvement with the group and says that in 1990 Cole originated the idea of wiping out humanity with a virus stolen from Goines's virologist father, Dr. Leland Goines.  Cole is transported back to 2035 where he reaffirms to the scientists his commitment to his mission and asks to be sent back to complete it. When he finds Railly again in 1996, he tells her he now believes himself crazy as she had suggested. Meanwhile, Railly has discovered evidence of his time travel to WWI which she shows him, believing he is sane. They decide to depart for the Florida Keys before the onset of the plague.  Cole and Railly learn that the Army of the Twelve Monkeys was not the source of the epidemic; the group's major act of protest is releasing animals from a zoo and placing Goines's father in an animal cage. At the airport, Cole leaves a message telling the scientists that they're on the wrong track following the Army of the Twelve Monkeys, and he will not return. Cole is confronted by Jose, who gives Cole a handgun and instructs him to follow orders.  Railly spots Dr. Peters at the airport and recognizes him from a newspaper as an assistant of Goines's father. Peters is about to embark on a tour of several cities that matches with the viral outbreaks chronologically and geographically.  Cole is informed of Peters by Railly, then forces his way through a security checkpoint in pursuit of Peters. After drawing his gun, Cole is shot by police. As Cole lies dying in Railly's arms, Railly scans the crowd around her. She makes eye contact with a small boy—the young James Cole witnessing the scene of his own death, which will replay in his dreams for years to come.  Peters, aboard the plane with the virus, sits down next to Jones, one of the scientists from the future, who comments that her job is ""insurance"". The young Cole watches a plane take off from the ground outside the airport."
12:01 (1993 film),https://upload.wikimedia.org/wikipedia/en/8/8b/12-01_dvd_cover.jpg,"Barry Thomas is bored with his job and moons over high-profile scientist Lisa Fredericks, who is working on a particle accelerator that accelerates faster than the speed of light, but is about to be shut down because of potential risks.  On the way home, Barry sees Lisa fatally shot and takes it very hard. While at home at midnight, he receives a strong electrical shock. The next morning the events of the previous day are repeating themselves and Barry is the only one who realizes that the world is stuck in a time loop. During several repetitions, Barry figures out how to save Lisa and get closer to her. His actions also get him fired and arrested for knowing too much about events.  Barry and Lisa eventually learn that her boss, Dr. Thadius Moxley, has been conducting illegal and unethical experiments with the faster-than-light particle accelerator in the hopes of harvesting its extreme cheap energy with the intention of earning a lot of money with it. These experiments caused the time loop. In fact, it was Lisa's partial knowledge of Dr. Moxley's illegal activities that resulted in her murder by his henchmen. After getting involved with an undercover government agent, they must stop her boss from starting his experiment at the end of a loop or the world will be trapped forever repeating the same day.  Expanding on the original's premise of a one-hour time loop, this version saw the main character reliving the same 24-hour period, which would restart at one minute past midnight (rather than midday as in the other versions). It also contains a happy ending, as the protagonist ultimately finds a way to correct the time loop over the course of the film’s 92-minute running time."
1994 Baker Street: Sherlock Holmes Returns,https://upload.wikimedia.org/wikipedia/en/a/a3/Sherlock-Holmes-Returns.jpg,"Sherlock Holmes is awakened in modern times from suspended animation as a result of an earthquake. He is aided in his recovery by Dr. Amy Winslow, who lives in Baker Street in San Francisco. Holmes pits his wits against the descendants of the Moriarty family, led by James Moriarty Booth. He is also aided by a new group of Baker Street Irregulars led by Zapper."
2 Days in the Valley,https://upload.wikimedia.org/wikipedia/en/a/a6/2daysinthevalley.jpg,"Two hitmen, Lee Woods and mafioso Dosmo Pizzo, walk into a bedroom where a sleeping couple, Olympic athlete Becky Foxx and her ex-husband Roy Foxx, are in bed. Lee injects Becky with a tranquilizer, then shoots Roy in the head. Lee and Dosmo then drive to an abandoned area off Mulholland Drive, where Lee shoots Dosmo and blows up the car in order to set Dosmo up as the fall guy for the murder. Lee flees the scene with his girlfriend, Helga Svelgen.  Dosmo was wearing a bulletproof vest and survived the shooting and car explosion. He takes shelter at the mansion of wealthy art dealer Allan Hopper, where he takes Hopper and his assistant Susan Parish hostage. Dosmo is unaware that Hopper has called his sister Audrey Hopper, a nurse, to come to the house. On her way, Audrey picks up Teddy Peppers, a down-and-out TV producer contemplating suicide.  Meanwhile, Becky awakens and discovers Roy's body in bed beside her. She runs from her house and flags down two policemen, young, ambitious Wes Taylor and cynical veteran Alvin Strayer, who are driving by. Although sympathetic, Wes begins to suspect that Becky knows more than she is saying. Becky had hired Lee and Dosmo to kill Roy for $30,000, but was unaware that they would do it in her own house. Alvin arrives at his house which is across the road from a golf course. One of the golf balls breaks Alvin’s window. Furious, he draws his revolver and confronts the golfers. Later that night, Alvin is wrapping a birthday present for his son and sees a letter in his coat from the police department saying that due to complaints about his erratic behaviour, he has to turn in his badge and weapon and he yells in frustration and he is never seen from then on. Lee goes back to the house to get the money, encounters homicide detectives Creighton and Valenzuela working the crime scene, and kills them both. Wes returns to the crime scene to see if he can offer any insight on the case. Masquerading as one of the detectives, Lee lures Wes outside, intending to kill him.  At Lee’s hotel, Becky and Helga argue and get into a fight. Becky smashes a vase over Helga’s head. Helga reaches for a gun in her purse and there is a struggle in which Helga is shot and wounded.  Becky escapes with Helga firing after her. Helga finds her way to Becky's house, where Lee has knocked Wes unconscious. Lee decides to kill Helga instead of taking her to the hospital, concluding that her wound is too severe to be treated, but his gun jams. He turns to retrieve Wes's gun but finds that Helga has escaped and has flagged down a passing car, where 2 people get out to try and help her.  Another car approaches which happens to carry Dosmo and his hostages. Audrey jumps out and tries to help the dying Helga, but she dies on the roadside.  Wes is caught in the middle of a shootout between Dosmo and Lee, and is shot in the leg. Just before Lee can kill Dosmo, Teddy shoots Lee, killing him.  A grateful Wes allows Dosmo to take the $30,000 and escape with Susan. The following day, Teddy shows up at an anniversary party that Audrey is attending. As Susan and Dosmo drive down a highway, Dosmo contemplates using the money to start a pizzeria in Brooklyn."
"20,000 Leagues Under the Sea (1997 miniseries)",https://upload.wikimedia.org/wikipedia/en/0/02/2000leagues1997.jpg,"The Nautilus has been sinking and damaging ships and is at first thought to be a giant narwhal. The USS Abraham Lincoln, with marine biologist Pierre Aronnax, harpooner Ned Land and escaped slave Cabe Attucks aboard, is sent to pursue and destroy the threat. After the ship is attacked by the Nautilus, Pierre, Ned and Cabe are knocked overboard and are picked up by the Nautilus.  With the three men presumed dead, the Abraham Lincoln makes it back to port and is repaired. Pierre's widowed father, Thierry Aronnax, joins the naval party. Thierry, also a marine biologist, has always been hateful and bitter toward his son because the boy's mother died while giving birth to him and because the elder Aronnax's mistress had come to prefer Pierre to his father.  Nemo is setting up an underwater domed city under the Atlantic south of West Africa. To avoid earthquake risks to it, he is first setting up a network of underwater explosives to release all Earth's geotectonic tensions at once and thus ensure that no more build up for a long while. During this, a Chinese-looking pearl diving girl accidentally activates one of these devices and the Nautilus rescues her in time.  Nemo's daughter Mara and Pierre become mutually attracted to each other. An accident destroys Pierre's right hand, and Nemo replaces it with a mechanical hand similar to his own.  The US Navy locates Nemo's base by a concentrated area of sightings of the Nautilus. The Abraham Lincoln, with Thierry Aronnax aboard, sails there.  Damage caused by Ned Land (killing him in the process) and torpedoes fired downwards by the Abraham Lincoln, force the Nautilus to surface. The Nautilus's crew come out on deck and are summarily machine-gunned by the Abraham Lincoln's deck-mounted Gatling guns. Mara and some others escape in one of the Nautilus's diving bells, but Mara is picked up and held prisoner aboard the Abraham Lincoln. A US naval man, accompanied by Thierry Aronnax, boards the Nautilus and shoots Nemo and another survivor on sight. After a final confrontation between Pierre and his father on the deck of the Nautilus, Nemo, before dying, activates a switch in his mechanical hand causing the Nautilus to explode, destroying the Abraham Lincoln as well.  Pierre is rescued by Cabe and the pearl diver, who have escaped in a Nautilus diving bell. Pierre's account of these events finds its way to Jules Verne, who uses it as a basis for his novel Twenty Thousand Leagues Under the Sea."
